"Tables data are cleared successfully","Tables data are cleared successfully"
"All tables data are correct","All tables data are correct"
"rows are found in","rows are found in"
"rows is found in","rows is found in"
"table.","table."
"Some","Some"
"no longer exist.","no longer exist."
"table don\'t have useful data.","table don\'t have useful data."
"table doesn\'t have useful data.","table doesn\'t have useful data."
"table don\'t have %1 while %2 are existing. ","table don\'t have %1 while %2 are existing. "
"table doesn\'t have %1 while %2 is existing. ","table doesn\'t have %1 while %2 is existing. "
"Run the ","Run the "
"command from the console to make sure that all table data is up to date. ","command from the console to make sure that all table data is up to date. "
