"Matched Expression","Matched Expression"
"Add Match","Add Match"
"Home Page","Home Page"
"Category Pages","Category Pages"
"Product Pages","Product Pages"
"CMS Pages","CMS Pages"
"Search Pages","Search Pages"
"Cart Page","Cart Page"
"Scommerce Configuration","Scommerce Configuration"
"Lazy Loading","Lazy Loading"
General,General
Enabled,Enabled
"This setting will be used to enable or disable module","This setting will be used to enable or disable module"
"Preload Images","Preload Images"
"This setting will be used to preload images or load them from scratch when they appear on the screen.","This setting will be used to preload images or load them from scratch when they appear on the screen."
"Loading Icon","Loading Icon"
"Show a preview image before the real image loads.","Show a preview image before the real image loads."
"Skip Images Count","Skip Images Count"
"This setting will be used to exclude the X number of images from Lazy Load. Based on count this option will decide how many images to load without lazy loading. For example: 3","This setting will be used to exclude the X number of images from Lazy Load. Based on count this option will decide how many images to load without lazy loading. For example: 3"
"Ignore Images that Contain","Ignore Images that Contain"
"This feature will be used when there will be a compatibility issue with image loading. Provide a part of an image tag content into the field and all images containing the inserted lines in their tags will be excluded from the extension's Lazy Load. For example: owl","This feature will be used when there will be a compatibility issue with image loading. Provide a part of an image tag content into the field and all images containing the inserted lines in their tags will be excluded from the extension's Lazy Load. For example: owl"
"Exclude Pages","Exclude Pages"
"This setting will provide option to the user to exclude pages from Lazy Load.","This setting will provide option to the user to exclude pages from Lazy Load."
